,tripduration,starttime,stoptime,startid,startname,endid,endname
9837,593,9/27/2017 7:40,9/27/2017 7:50,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
9838,536,9/27/2017 7:44,9/27/2017 7:52,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9839,636,9/27/2017 7:44,9/27/2017 7:55,3255,8 Ave & W 31 St,461,E 20 St & 2 Ave
9840,702,9/27/2017 7:45,9/27/2017 7:57,3255,8 Ave & W 31 St,128,MacDougal St & Prince St
9841,1073,9/27/2017 7:46,9/27/2017 8:04,3255,8 Ave & W 31 St,504,1 Ave & E 16 St
9842,897,9/27/2017 7:47,9/27/2017 8:02,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
9843,953,9/27/2017 7:47,9/27/2017 8:03,3255,8 Ave & W 31 St,305,E 58 St & 3 Ave
9844,786,9/27/2017 7:48,9/27/2017 8:01,3255,8 Ave & W 31 St,382,University Pl & E 14 St
9845,534,9/27/2017 7:48,9/27/2017 7:57,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9846,952,9/27/2017 7:51,9/27/2017 8:06,3255,8 Ave & W 31 St,3223,E 55 St & 3 Ave
9847,708,9/27/2017 7:53,9/27/2017 8:05,3255,8 Ave & W 31 St,497,E 17 St & Broadway
9848,1216,9/27/2017 8:02,9/27/2017 8:22,3255,8 Ave & W 31 St,426,West St & Chambers St
9849,2256,9/27/2017 8:03,9/27/2017 8:41,3255,8 Ave & W 31 St,3538,W 110 St & Amsterdam Ave
9850,1306,9/27/2017 8:06,9/27/2017 8:28,3255,8 Ave & W 31 St,377,6 Ave & Canal St
9851,1257,9/27/2017 8:06,9/27/2017 8:27,3255,8 Ave & W 31 St,385,E 55 St & 2 Ave
9852,699,9/27/2017 8:08,9/27/2017 8:20,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9853,1352,9/27/2017 8:09,9/27/2017 8:32,3255,8 Ave & W 31 St,3002,South End Ave & Liberty St
9854,1058,9/27/2017 8:13,9/27/2017 8:31,3255,8 Ave & W 31 St,327,Vesey Pl & River Terrace
9855,1494,9/27/2017 8:17,9/27/2017 8:41,3255,8 Ave & W 31 St,3002,South End Ave & Liberty St
9856,629,9/27/2017 8:19,9/27/2017 8:30,3255,8 Ave & W 31 St,469,Broadway & W 53 St
9857,769,9/27/2017 8:24,9/27/2017 8:36,3255,8 Ave & W 31 St,3136,5 Ave & E 63 St
9858,752,9/27/2017 8:24,9/27/2017 8:37,3255,8 Ave & W 31 St,468,Broadway & W 56 St
9859,988,9/27/2017 8:24,9/27/2017 8:41,3255,8 Ave & W 31 St,281,Grand Army Plaza & Central Park S
9860,935,9/27/2017 8:30,9/27/2017 8:45,3255,8 Ave & W 31 St,293,Lafayette St & E 8 St
9861,864,9/27/2017 8:31,9/27/2017 8:45,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9862,734,9/27/2017 8:35,9/27/2017 8:47,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9863,329,9/27/2017 8:39,9/27/2017 8:44,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9864,716,9/27/2017 8:39,9/27/2017 8:51,3255,8 Ave & W 31 St,161,LaGuardia Pl & W 3 St
9865,464,9/27/2017 8:42,9/27/2017 8:49,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
9866,841,9/27/2017 8:43,9/27/2017 8:57,3255,8 Ave & W 31 St,127,Barrow St & Hudson St
9867,1289,9/27/2017 8:48,9/27/2017 9:10,3255,8 Ave & W 31 St,426,West St & Chambers St
9868,1687,9/27/2017 8:50,9/27/2017 9:18,3255,8 Ave & W 31 St,304,Broadway & Battery Pl
9869,1048,9/27/2017 8:52,9/27/2017 9:09,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9870,809,9/27/2017 8:55,9/27/2017 9:08,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9871,719,9/27/2017 8:58,9/27/2017 9:10,3255,8 Ave & W 31 St,468,Broadway & W 56 St
9872,1165,9/27/2017 8:58,9/27/2017 9:18,3255,8 Ave & W 31 St,3474,6 Ave & Spring St
9873,559,9/27/2017 9:07,9/27/2017 9:16,3255,8 Ave & W 31 St,3472,W 15 St & 10 Ave
9874,555,9/27/2017 9:16,9/27/2017 9:25,3255,8 Ave & W 31 St,3431,E 35 St & 3 Ave
9875,545,9/27/2017 9:18,9/27/2017 9:27,3255,8 Ave & W 31 St,485,W 37 St & 5 Ave
9876,1259,9/27/2017 9:18,9/27/2017 9:39,3255,8 Ave & W 31 St,3231,E 67 St & Park Ave
9877,492,9/27/2017 9:20,9/27/2017 9:29,3255,8 Ave & W 31 St,491,E 24 St & Park Ave S
9878,510,9/27/2017 9:21,9/27/2017 9:30,3255,8 Ave & W 31 St,434,9 Ave & W 18 St
9879,1236,9/27/2017 9:26,9/27/2017 9:46,3255,8 Ave & W 31 St,3427,Lafayette St & Jersey St
